"","batch","cell_type","individual_id","sex","age","Residuals"
"7905862",0,0.338750879417254,0.02596321952788,1.14242134850135e-10,5.39656803063165e-05,0.635231935260317
"7905881",0,0.95808638950787,0.00984443984303916,1.9731107258555e-11,0.000452309704510495,0.0316168609248493
"7905909",0,0.253135225873963,0.193710066886106,6.32873817012988e-11,0.00106033437618828,0.552094372800456
"7905918",0,0.431925730365462,0.154059492777619,7.25617854505739e-11,0.000161254127928315,0.413853522656429
"7905929",1.18191184181115e-09,0.000595137748638559,0.0648268755469744,3.68634054121085e-11,0.00305972654655565,0.931518258939056
"7905938",0,0.26696680434051,0.119604042111219,4.33468188583389e-13,0.00221059477793723,0.611218558769901
"7905951",0,0.183402934195814,0.0425942355405365,2.96233613710048e-11,0.00763880384348111,0.766364026390545
"7905968",6.2902235221522e-13,0.595901765193563,0.09575482742702,1.38286401861042e-11,0.000380560482217711,0.307962846882742
"7905974",0,0.328534390498615,0.0706371137211586,1.67917652468381e-12,0.00212484648942036,0.598703649289127
"7905986",8.68067288314551e-13,0.555742191571385,0.104676518616469,1.39459118336605e-13,0.00212742056884306,0.337453869242296
"7905999",0,0.699800350552868,0.0704371057799371,4.44904242520394e-11,0.000942767177232092,0.228819776445472
"7906017",1.41311940998856e-09,0.175936047937505,0.0494079272721661,6.44891102943698e-11,0.00288366780048633,0.771772355512234
"7906021",0,0.908372574653004,0.00313498261816671,5.67933341444548e-11,0.000102803787890553,0.0883896388841452
"7906041",4.31133905959418e-08,0.0071215946818496,0.0507729131619828,4.57882988636174e-11,0.0116864099750354,0.930419039021953
"7906056",0,0.84570874304437,0.00637972332950106,4.1356734858766e-13,8.22442726670978e-05,0.147829289353048
"7906061",0,0.670567574440168,0.0593191042027327,2.55835506197941e-11,0.0298449798572573,0.240268341474258
"7906069",0,0.718647379714751,0.0432391704897876,1.16411404010481e-13,0.000172726724613318,0.237940723070732
"7906072",0,0.792018322876042,0.0626884867170441,2.99467054419715e-11,9.90793767388043e-05,0.145194111000229
