"","batch","cell_type","individual_id","sex","age","Residuals"
"7962367",0,0.131718434230146,0.121801735722141,0.0144033176245765,0.00103156088184278,0.731044951541295
"7962375",7.20340234637948e-16,0.858798854473229,2.3660329313643e-12,9.06483966163871e-06,0.00023872134393488,0.140953359340807
"7962384",4.57217248385166e-12,0.731474551933593,0.0171774654612404,2.71939680904204e-10,2.60981448439903e-07,0.251347721347207
"7962427",0,0.0769084646008414,0.255998256125467,0.00716252043268309,0.00132953077506218,0.658601228065947
"7962441",5.17206130581518e-14,0.200065471261083,0.229342507027443,0.0124436946021636,0.000354386617365885,0.557793940491893
"7962455",0,0.9526917120486,0.00215851155702418,0.000529576974869618,5.47876092597368e-05,0.0445654118102463
"7962481",0,0.590397033226816,0.0480345491586563,0,0.00429935422137455,0.357269063393153
"7962487",0,0.558231299005601,0,6.48010795224088e-18,4.47840388848707e-05,0.441723916955515
"7962489",0,0.0437563822021717,0.129795192544803,4.47205792946367e-12,0.00156161345055897,0.824886811797994
"7962499",0,0.296473744239726,0.234269810367835,0,3.22888239406411e-05,0.469224156568499
"7962516",4.60136951019408e-08,0.949173855823492,0.00138796080786956,0.000145374729186868,0.0007767185571284,0.0485160440686283
"7962537",6.2129909066238e-12,0.45133755017945,0.168546653520918,0.00570092089601384,0.00127729603795031,0.373137579359455
"7962559",0,0.244877624428403,0.0259197001615954,0,0.000651871978078257,0.728550803431923
"7962579",0,0.928645818085725,0.000353133137592092,0,1.8032579791958e-06,0.070999245518704
"7962590",2.92774012522288e-10,0.129946203255701,0.250373401565027,0.00219447141367807,0.00443497592764502,0.613050947545174
"7962608",0,0.823697811823641,0.0103245726163916,0,0.000139208413304196,0.165838407146663
"7962623",0,0.555087898182194,0.0163083927423724,0,4.09219681433936e-05,0.42856278710729
"7962625",0,0.537356803105773,0.0363081320265599,8.02157982460173e-16,7.41477845967294e-05,0.42626091708307
"7962659",0,0.338646295459408,0.143846958958002,0.0011232943309471,0.00156316462491753,0.514820286626725
"7962689",0,0.967053516961859,0.00193302310618357,0.000236398792111349,0.000153208198137612,0.0306238529417088
"7962703",0,0.615458217963972,0.0388899690697986,0,0.000667235944355018,0.344984577021874
"7962760",1.88433154819117e-12,0.014159793463731,0.238980002573131,0,0.0012335025547341,0.74562670140652
"7962783",0,0.196534611154584,0.197378915743542,0.000670804006438984,0.00104660149371388,0.604369067601722
"7962792",0,0.773611735013072,3.83744883145673e-13,2.74976102371214e-05,4.38355307780447e-05,0.226316931845529
"7962794",0,0.770366684414411,0.0365053509334601,0.00547128052567301,0.00023280479611172,0.187423879330344
"7962804",0,0.0651050052199169,0.0709721217222215,0,1.40898265193686e-06,0.86392146407521
"7962811",1.09695161687149e-13,0.00684262866542631,0.1471387392258,0.00134621817493453,0.00664148876127264,0.838030925172457
"7962827",1.65672413988656e-13,0.111538739408786,0.0588783295314438,0,0.000658935626310918,0.828923995433294
"7962829",0,0.000152033899603645,0.270733772931699,0,0.000560996122508202,0.728553197046189
"7962831",0,0.00360796947308973,0.266610127622784,1.07006129845627e-12,0.00332310620002349,0.726458796703033
"7962842",0,0.572489981026676,0.0558484668774855,0,0.000729815861205833,0.370931736234633
"7962869",0,0.252073915501427,0.161347100687098,0,0.00045704217062914,0.586121941640847
"7962884",0,0.294213927093536,0.115302861444882,0.00225596382471839,6.15616942205418e-05,0.588165685942643
"7962895",3.57759491344962e-13,0.206695726259121,0.0160955148249485,0,0.00362496473017479,0.773583794185397
"7962904",0,0.931743873387329,0.0135333155953236,0,0.000424115007545252,0.0542986960098018
"7962918",4.08766673450205e-17,0.0449765612254574,0.133118507511895,0,0.00116807987656712,0.820736851386081
"7962930",6.59485870867867e-15,0.301729414090723,0.0763144710116536,0,7.82319420695659e-07,0.621955332578196
"7962935",1.74303268919376e-12,0.862580984432413,0.0199301468780324,0.00156090715073435,1.19977582131346e-05,0.115915963778864
"7962951",2.0429769595627e-14,0.76559880202715,0.0469009666572379,0,0.000291594637531984,0.18720863667806
"7963009",0,0.160038518766901,0.0499998543659104,0.00308055270497476,0.00360811137952747,0.783272962782687
"7963020",0,0.428943557592266,0.0425828954403474,0.00133385540555418,0.000830588015824211,0.526309103546008
"7963024",2.71675148143527e-11,0.0227665631241688,0.144760656395984,0.00274809128062278,0.00198361743486975,0.827741071737187
"7963046",3.1358113792188e-14,0.663481056661332,0.0662354476866565,0,0.0016667448835086,0.268616750768472
