"","batch","individual_id","sex","age","Residuals"
"7971838",0,0,0,0.0244943816029991,0.975505618397001
"7971850",0,0,0,0.00969660839860817,0.990303391601392
"7971866",0,0,0,0.0129700906098776,0.987029909390122
"7971905",0,0.0668365972244953,0,0.00912819264075882,0.924035210134746
"7971915",2.92802683025326e-20,2.09961479944096e-16,0,0.015225961198597,0.984774038801403
"7971920",0,0,0,0.0026653549009553,0.997334645099045
"7971922",1.99861737367134e-12,1.1192127064151e-06,0.000592457101177239,0.00378306944114456,0.995623354242973
"7971937",0,0,0,0.00285410306929608,0.997145896930704
"7971950",2.1210062840572e-11,0.226636459916214,0.0116647235941985,0.00240607403008736,0.75929274243829
"7971965",0,0,0,0.00811802365163241,0.991881976348368
"7971967",0,0.0372518915754598,1.04182161019672e-11,0.0106711109456234,0.952076997468498
"7972003",4.1330421532072e-11,0.322855433960269,0.00807021073749769,0.00404910516373317,0.66502525009717
"7972018",2.62559605248783e-09,0.0608229721552889,0,0.00112123146080934,0.938055793758306
"7972021",0,0.0449459364192005,0.0307195626819385,0.000492899425156177,0.923841601473705
"7972044",0,0,0,0.00358474825400965,0.99641525174599
"7972055",0,0.150170988598886,0.00391241875452931,0.00155863352631736,0.844357959120267
"7972062",0,0.0993487177460804,2.81096258270064e-12,0.00301532088994648,0.897635961361162
"7972069",0,0,0,0.00877860802404356,0.991221391975956
"7972157",0,0.50097154175385,3.93865434313679e-18,0.00802207129765547,0.491006386948494
"7972177",0,0,0,0.00212026649254578,0.997879733507454
"7972180",0,5.95997186061291e-19,3.63696767709676e-16,0.00705059823784507,0.992949401762155
"7972190",0,0,0,0.00900359858973358,0.990996401410266
"7972217",0,0,0,0.000785721789122559,0.999214278210877
"7972231",0,0,0.00708681444679829,0.00138766967527267,0.991525515877929
"7972239",0,0,0,0.000598958645099355,0.999401041354901
"7972247",0,0,0,0.00600011271754958,0.99399988728245
"7972269",0,0.158608531936374,0,0.00726384053817338,0.834127627525452
"7972291",0,0,0,0.000956141010385939,0.999043858989614
"7972297",0,0,0,0.00173886955469317,0.998261130445307
"7972336",0,0,6.36969590956829e-11,6.13061815773306e-06,0.999993869318145
"7972369",0,0,1.92424410889985e-13,0.00608832030982293,0.993911679689985
"7972420",0,0,0,0.0041437215290243,0.995856278470976
"7972428",0,0.102678023664443,0.00160816380648427,0.000212163677192478,0.895501648851881
"7972438",4.42942443443961e-09,0.126432236189899,1.99063595520698e-18,0.00769512525019309,0.865872634130483
"7972444",6.26397758579995e-12,0.117293511253117,0,3.49960932498706e-05,0.882671492647369
"7972461",6.85070836622236e-11,0.0875371542124927,0,0.00528703144618001,0.90717581427282
"7972487",3.06007031853159e-13,0.00241766419031713,0,3.05517491542001e-05,0.997551784060223
"7972548",0,0.110802795664959,1.10364366501517e-11,0.00244050358459507,0.88675670073941
"7972557",0,0.335316086843183,5.44563702504726e-12,0.00485593253897487,0.659827980612397
"7972567",0,4.74560972025032e-13,0,0.00222668440106309,0.997773315598462
"7972570",4.717077759991e-13,0.193532347371405,0,0.00589840939786417,0.800569243230258
"7972577",0,0.692170701291693,0,0.0202757130901399,0.287553585618167
"7972579",3.29368476295788e-11,0.569033978063096,0.00255414620227871,0.00222385708103158,0.426188018620656
"7972601",0,3.39405094526287e-19,3.94802612453809e-15,0.00667748212537728,0.993322517874619
"7972650",2.66308406227485e-10,0.0642667511262361,1.60992698706071e-10,0.00100047999369728,0.934732768452765
"7972665",0,0.183631182020205,0.000846297934520157,0.000336847439477334,0.815185672605797
"7972670",3.71354477402009e-12,0,5.43641891749635e-11,7.77373861959045e-06,0.999992226203303
"7972672",0,0.0137161153965539,4.28733858111959e-15,0.00130284154642292,0.984981043057019
"7972674",0,0.0126002902764198,2.60160224568909e-12,0.00230472525293705,0.985094984468042
"7972682",2.20439354293948e-12,0.36867688769332,0,0.000111716142006207,0.631211396162469
"7972692",0,0.473549552623233,3.59663728364859e-15,0.00309265093649758,0.523357796440265
"7972699",0,0.0518680268273674,1.45559165375132e-13,0.00257197395037654,0.94555999922211
"7972713",0,0.195586409150527,1.7674414640512e-11,0.0169111600971326,0.787502430734666
"7972723",1.83635813777975e-12,0.0757043965343454,0,0.00876102277737838,0.91553458068644
"7972737",0,6.20851728688836e-11,0.00952666014485166,0.0110738998799861,0.979399439913077
"7972745",0,0.134962861925913,0,0.0853387284734534,0.779698409600634
"7972750",0,3.43733279705822e-08,0.00448713108346836,0.0104036650096589,0.985109169533545
"7972805",0,0.160101921632079,6.88066333740214e-13,0.00101486317276656,0.838883215194466
"7972810",7.87925656688871e-12,0.480556258564214,4.00986655694779e-11,0.00857329433848507,0.510870447049323
"7972826",8.24353196949454e-14,0.05514179790524,2.41788271383546e-12,0.000739526110839394,0.94411867598142
"7972828",0,0.0329401031753865,0,0.000799829448114484,0.966260067376499
"7972840",0,0,0,0.0159758115303096,0.98402418846969
"7972867",0,0.19960852976283,2.53331979373169e-14,0.01410028897853,0.786291181258615
"7972888",0,0,0,0.00574115079479182,0.994258849205208
"7972890",0,0.218696931592924,0.000762271715361391,0.00869988576738758,0.771840910924327
"7972899",0,0.0435457259259419,0.00160254043222823,0.012355590963886,0.942496142677944
"7972902",0,0,0,0.0173554516080455,0.982644548391955
"7972912",2.23605814206353e-15,0.0846396038838952,0,0.00575545816477198,0.909604937951331
"7972923",0,0.156192547955,0,0.00282369539339289,0.840983756651607
"7972932",5.22607015666509e-12,0.409362650183527,1.48065244019353e-10,1.38067617060672e-05,0.590623542901475
"7972936",0,0,0.0326238257495686,0.00656927579837352,0.960806898452058
"7972946",3.24959149023146e-11,0.108745392969867,0.0113876873919175,0.0125979897401318,0.867268929865588
"7972973",0,0,0,0.00325178696473174,0.996748213035268
"7972981",1.22938090950487e-08,0.0956339868722704,1.22424284267239e-09,0.000653010816810462,0.903712988792867
"7972983",1.05092041754215e-11,0.224894508507558,3.20529508978059e-11,0.000470897985902913,0.774634593463977
"7973002",0,0,0,0.00383720836418143,0.996162791635818
"7973004",0,0,0,0.000166823755301763,0.999833176244698
"7973006",0,0.125123730641587,2.49905708977163e-16,0.00239859021795482,0.872477679140458
"7973008",1.47000747534584e-12,0.0196486880626606,0,0.000106354101452382,0.980244957834417
"7973010",0,0.107020717805486,2.56716021360766e-12,1.46955107308316e-05,0.892964586681216
"7973012",0,0,0,0.000309980549592828,0.999690019450407
"7973014",0,0.0926279069318238,0,1.9157556330703e-06,0.907370177312543
"7973016",4.07541680342099e-18,0.175759351649515,0,0.000585064225749223,0.823655584124735
"7973018",0,0,0,0.00229942652724935,0.99770057347275
"7973020",0,0,0,0.00310695732872244,0.996893042671277
"7973022",2.42732128171993e-12,0.120533759342221,0,0.000260346693225242,0.879205893962127
"7973024",0,0.0308096544993384,0.000195048147466385,0.000831621182588396,0.968163676170607
"7973026",0,0.0570861763220991,0,0.000883909088820385,0.94202991458908
"7973028",0,0,0,0.00226844731146758,0.997731552688532
"7973030",0,0,0,0.00188224710923544,0.998117752890765
"7973034",0,0,0,0.000211076661978386,0.999788923338022
"7973036",1.6625065418678e-12,0.0478924703538911,0.0613581196704262,0.0060600956721771,0.884689314301843
"7973056",1.15375906851471e-13,0.514510025670521,0.0133644514722764,0.0291705166756319,0.442955006181455
"7973067",7.90028974325311e-12,0.340901664376306,0,0.00149086524277788,0.657607470373015
"7973078",0,0,0,0.0040490627711012,0.995950937228899
"7973080",0,0.234516228485727,2.79050201307771e-11,0.00525713323936682,0.760226638247001
"7973084",0,0.5391750966962,0,0.00905174004142018,0.45177316326238
"7973093",0,0,0,0.00198555519910433,0.998014444800896
"7973098",0,1.55676939008775e-19,0,0.00358984194897793,0.996410158051022
"7973105",2.27018881950252e-09,0.419696553594249,2.80051807981123e-10,1.51184449136278e-05,0.580288325410597
"7973108",2.21129828247941e-11,0.449856017281485,0,0.00240080070581989,0.547743181990582
"7973110",0,0.399717045190955,1.14887851438569e-19,0.00548002642619705,0.594802928382848
"7973116",0,1.76975777358621e-15,0.0036596541276544,0.00102724147312263,0.995313104399221
"7973135",0,5.39446281669032e-15,8.26710795429347e-19,0.00277695283508053,0.997223047164914
"7973142",0,0,0,0.00134099842194379,0.998659001578056
"7973149",0,0,0,0.000867843837767148,0.999132156162233
"7973156",0,0.039466065563826,6.5325223045588e-13,0.000859653815430163,0.95967428062009
"7973158",0,0.233663878128405,4.75472056427785e-13,0.0200954723106371,0.746240649560482
"7973182",0,0,0,0.000291126616240201,0.99970887338376
"7973185",7.85402292044636e-13,0.126116953332616,0,0.0586316539472442,0.815251392719354
"7973214",0,0.124657869479085,0.00176089276226949,0.00254625791864502,0.871034979840001
"7973221",0,0,0,0.00161446277227444,0.998385537227726
"7973296",0,0.0772547854374931,0,0.000823561948997791,0.921921652613509
"7973298",0,1.67153259215604e-16,0,0.000473042340899769,0.9995269576591
"7973306",4.53936691271538e-10,0.254329649803163,7.567789063473e-09,0.000381884576579689,0.745288457598532
"7973314",0,0.223594559007928,0,0.00378974543723094,0.772615695554841
"7973327",0,0.220132504058775,0.00105377512887516,6.09959889360096e-05,0.778752724823414
"7973336",0,0,0,0.0114510424565173,0.988548957543483
"7973352",1.83954251139278e-10,0.0922026547631312,0.000563911246412151,0.0154948760758567,0.891738557730646
"7973363",1.04308207091722e-10,0,0.00576672761619693,0.00638734327500104,0.987845929004494
"7973369",4.44504788991012e-09,0.159043662357906,0.00150637957045893,0.00602776747948078,0.833422186147107
"7973371",0,0.0801908545145276,2.76488692658777e-14,0.00481579288598188,0.914993352599463
"7973377",5.59630462900402e-15,0,0.00539171186444025,0.00245148579295504,0.992156802342599
"7973384",0,0,0.000374618834315474,0.00142581605918606,0.998199565106499
"7973393",0,0,0,0.000512223811173435,0.999487776188827
"7973403",0,0.203038203731977,3.77635927228539e-18,0.00708143960196767,0.789880356666056
"7973414",0,0.0395009499199597,0.0155356536190967,0.0293195220136643,0.915643874447279
"7973427",0,0,0,0.00297105253931691,0.997028947460683
"7973433",0,0.181127662866035,0,0.00509656635259298,0.813775770781372
"7973446",0,0.3747112811365,3.56101274963448e-12,0.00363280314220149,0.621655915717738
"7973448",0,0.561568327064443,0,0.00789232457003418,0.430539348365523
"7973458",0,0.560639881457066,0,0.00364855633281738,0.435711562210117
"7973468",0,0.27323552574832,1.42172539918411e-10,0.0101109397905859,0.716653534318922
"7973510",0,0,0,0.0110475520431535,0.988952447956847
"7973530",0,0.0188363456683163,6.30321261253892e-14,0.00151406611962496,0.979649588211996
"7973545",7.44347823858614e-12,0.15384363921105,1.27205375684313e-11,0.000351042480874883,0.84580531828791
"7973564",1.45020356914325e-09,0.185058829813214,6.29212070152396e-11,0.00494564516418663,0.809995523509474
"7973580",0,0,0,0.000777050006614279,0.999222949993386
"7973584",3.79033298943751e-09,0.0875893775756721,3.67368814651138e-10,0.00747621001327524,0.904934408253351
"7973613",0,0.0666554245668537,6.38037396559274e-13,5.03965079570562e-06,0.933339535781713
"7973618",1.35330503347952e-10,0.169563642046462,2.04746326921236e-11,0.00053839448168708,0.829897963316046
"7973629",3.73980207366606e-13,0.180677948540649,0,0.0134267103643776,0.805895341094599
"7973652",0,0,0,0.00370838630571989,0.99629161369428
"7973660",1.73397564130053e-11,0.236225019371292,0.00265980787889668,0.000183643804006247,0.760931528928466
"7973679",0,0,0,0.000541694835249384,0.99945830516475
"7973694",0,0,0,0.000280920157394284,0.999719079842606
"7973702",0,0.275718302486997,0.000137617495584881,0.000146859682206115,0.723997220335212
"7973709",0,0.0801347283769594,0,0.00949768628686254,0.910367585336178
"7973724",0,2.36809470523114e-08,0.00263472815628754,0.00955589082452156,0.987809357338244
"7973727",5.66355404533043e-15,0.317473974682869,0,0.0241648681885414,0.658361157128584
"7973732",0,0,0,0.00847423275126842,0.991525767248732
"7973743",0,0.00315068683375072,0,0.000807126480026153,0.996042186686223
"7973745",0,0,0,0.00386002649924111,0.996139973500759
"7973748",9.19024672704223e-11,0.195880420134991,0.000806592013540074,0.00120677674744218,0.802106211012124
"7973756",9.57336616817762e-14,0.0570458014455929,0,0.00599737147392594,0.936956827080385
"7973770",0,0,0.0014700328669295,0.00776555406788588,0.990764413065185
"7973797",0,0.243477525146429,0,0.017755796073381,0.73876667878019
"7973813",3.94864521917996e-12,0.135827723702878,0,9.7422575772268e-06,0.864162534035596
"7973826",0,0.0664199648862156,0.0156532038356057,0.00941187623391739,0.908514955044261
"7973840",1.16144796394884e-09,0.191787183801651,0,0.000892559712085305,0.807320255324816
"7973850",0,0,2.34286269397109e-21,0.0071367948969045,0.992863205103095
"7973875",0,0,0,0.00439928012647658,0.995600719873523
"7973894",0,0,0,0.00199851094606794,0.998001489053932
"7973896",0,0,0,0.000757015251181437,0.999242984748819
"7973900",1.91446403007486e-09,0.324202620605337,0.00304215218691789,0.000443182394484611,0.672312042898797
"7973902",0,1.98763856886884e-08,0.0025039185586219,0.00508275383563164,0.992413307729361
"7973918",0,0.110397915639051,6.87656883014047e-13,0.00318621167639949,0.886415872683862
"7973924",1.17555820114519e-10,0.261936096125397,0,0.00129104537968794,0.73677285837736
"7973936",0,0.0675769008559275,0.000257175328795992,0.00619879885793967,0.925967124957337
"7973943",0,0,0,0.00839321479385462,0.991606785206145
"7973948",6.50107308958977e-12,0.0776795224254712,0.00200394059078638,0.000485978103662041,0.919830558873579
"7973962",2.25290387291628e-11,0,0.000967729371389594,6.64327621519276e-06,0.999025627329866
"7973970",0,0,0,0.0164979651643756,0.983502034835624
"7973974",0,0.24299316214266,1.83780699492679e-11,0.00266281447845226,0.754344023360509
"7973985",0,0.059352016241938,5.06493574790279e-17,0.00130981794020584,0.939338165817856
"7974008",0,0,0,0.0079425677618955,0.992057432238105
"7974029",0,0.0816942987379926,0,6.14428256304744e-05,0.918244258436377
"7974047",0,0,0,0.00469036723195641,0.995309632768044
"7974054",0,0.195453970891102,0.00366970619168944,0.00997639172817544,0.790899931189033
"7974066",5.2215653254294e-14,0.123438483984268,0,0.00592488105590649,0.870636634959774
"7974080",2.40214691259261e-13,0.158470384599136,0,0.000187363742429948,0.841342251658194
"7974090",0,0,0,0.00318216775634486,0.996817832243655
"7974109",0,2.84481204574112e-19,4.91759914379508e-19,0.0037415958835791,0.996258404116421
"7974117",0,0,0,0.000146982855451612,0.999853017144548
"7974125",0,0.0494223330066397,0,0.00978729685705666,0.940790370136304
"7974146",0,0,0,0.00825528420367462,0.991744715796325
"7974166",0,0.143464409216285,0.014286077876575,0.00443543345964094,0.837814079447499
"7974190",4.32949988762e-10,0.213546764228649,0.0139783480170001,0.0184702762532531,0.754004611068148
"7974198",0,3.86101552873083e-10,0.0118125865634732,0.00481353425614183,0.983373878794284
"7974207",0,1.57986106322383e-20,0,0.00401181826670023,0.9959881817333
"7974214",4.42340635442452e-11,0.248612062301604,0.00354343610621077,0.0261908316111463,0.721653669936805
"7974229",0,0.118074587541502,3.57988199371124e-11,0.0105349317245663,0.871390480698132
"7974245",0,0.00981660652700105,0,0.000249819581271121,0.989933573891728
"7974249",0,0.214289239934251,5.81517350145142e-13,0.0119011093423272,0.77380965072284
"7974257",0,0.0745861328795647,0.000603411168416773,0.000232838217907508,0.924577617734111
"7974270",0,0.340779362534813,2.51507457773265e-11,0.00400276665468394,0.655217870785352
"7974288",0,0.0126387114381686,0,0.00312177997485961,0.984239508586972
